Entry,Type,Text
1217,0,"Хм-м! Как будто мне и без того не хватает дел здесь, в этой грязи, без всех этих отвлекающих факторов!"
1284,0,"Я благословляю тебя всем сердцем, $c, и возношу молитву, чтобы это благословение вело и обеспечивало защиту тебе в эти трудные времена. Будь начеку, но не теряй надежду на мир, ведь свет надежды — наше самое сильное оружие против тьмы."
1377,0,"Овладеть паровым танком не каждому под силу. Для этого нужны железная рука и стальные нервы... К счастью для меня, у меня есть и то, и другое! А как насчет тебя? Как твоя выдержка? Хочешь мне это доказать?"
1938,0,"Кирин-Тор не послушал моих предупреждений! Альянс — это обман. Аругал — безрассудный дурак."
1952,0,"Привет, $c. Если ты здесь, то наверняка знаешь, что Серебряный бор полн наших противников. Чтобы выжить, Отверженные должны оттеснить их!"
2055,0,"Королевское фармацевтическое общество должно откликнуться на призыв Темной Леди, чтобы раскрыть тайну Новой Чумы и раз и навсегда изгнать Артаса и его языческую армию Плети из мира."
2083,0,"Как и сам Тельдрассил, Доланаар принимает тех, кто любит эту землю."
2151,0,"Привет, $C. Дороги нашего прекрасного леса не совсем безопасны. Будь осторожен."
2229,0,"Подумать только, место, где родился и вырос Вождь, находится так близко."
2277,0,"У меня много работы. Ты здесь, чтобы помочь мне с исследованиями?"
2500,0,"Они там! Я слышу их по ночам, они смеются. О, они за это заплатят! Они... заплатят!!"
2934,0,"Знание — это и инструмент, и оружие для тех, кто хочет его использовать."
3050,0,"Таурены — это дети Матери-Земли, и мы уважаем всех ее детей. Даже животных, которых мы убиваем, мы ценим, потому что их тела дают нам пищу, а шкуры — тепло."
3428,0,"Пыль Степей с каждым днем все больше и больше сушит мне горло, $N. Но это стоит того, чтобы остаться здесь, если это поможет Орде и Вождю."
3657,0,"Я должен быть начеку, $n. Аубердин окружен старыми и новыми противниками. Будь осторожен, когда выходишь из города, потому что за его пределами я не смогу тебя защитить. Поэтому мне нужна помощь в делах, которые заставляют меня выходить за город."
3936,0,"Во имя Элуны Стражи бдительно следят за всеми нашими землями, от мощеных улиц Дарнас до окраины Ясеневого леса."
4048,0,"Ты выглядишь так, будто пришел издалека, $r."
4080,0,"Гаксим так увлечен тем, чтобы убедить ночных эльфов в превосходстве своих методов, что мне пришлось направить его энергию в нужное русло — я отправил его в Торговую Компанию.$B$BЯ останусь, чтобы продолжать помогать Обугленной долине на северо-западе."
4088,0,"Путь воина — это путь решимости, $gбрат:сестра;. Он может начинаться с силы рук, но продолжается благодаря силе воли."
4454,0,"Ага! Ты это видел? Думаю, этот новый авто-гаечный ключ как раз подойдет для моего нового дизайна коллектора."
4630,0,"Какой классный день для гонок! Да ладно, кого я обманываю? Каждый день классный для гонок!"
5393,0,"Крепость Стражей Пустоты всегда нуждается в дополнительных припасах — припасах, которые помогут нашим магам в их исследованиях, и припасах, которые помогут нашим защитникам оставаться в отличной боевой форме."
5598,0,"Что ты хочешь от меня?"
5636,0,"Чего ты хочешь? Я был бы гораздо счастливее в небесах, чем на земле, болтая с $r прямо сейчас.$b$bПохоже, не все мы можем получить то, что хотим."
5637,0,"Привет, я Роттен. Я возглавляю гильдию Поисковая корпорация и занимаюсь поиском потерянных вещей. Мы обычно нанимаем смелых искателей приключений и отправляем их выполнять задания для тех, кто не может или не имеет времени это сделать."
5675,0,"Призыв существ из хаоса, который находится за пределами нашего мира, очень важен для освоения искусства чернокнижника, $N. Я рад видеть, как ты продвигаешься."
5878,0,"Мое зрение помутилось, но ведь есть разные виды зрения..."
5906,0,"Привет, шаман. Рад видеть здесь одного из моих $gбратьев:сестер;. Могу я чем-то помочь?"
6169,0,"Я на задании. Задание! Задание в поисках новых сплавов и более прочных металлов для величайшего изобретения всех времен и народов!!"
6868,0,"Чего тебе надо, $c? Думаю, ты пришел в эту пустошь не просто поболтать."
7802,0,"Так мало кто доходит до этого момента, и еще меньше проходит дальше. Не становись статистикой, $N."
9078,0,"Привет, $gмальчик:девочка;, ты как раз вовремя, чтобы помочь Каргатскому экспедиционному корпусу."
10428,0,"Застава Белого Плеса начиналась как маленький охотничий лагерь... Теперь все хотят открыть здесь свой бизнес и назвать это место своим домом.$b$b<Мотега пожимает плечами>"
10926,0,"Я больше не чувствую тепла..."
11036,0,"Пусть знание принесет нам спасение."
11039,0,"Привет, $N. Я герцог Николас Зверенхофф из Серебряного Рассвета."
11259,0,"Пустоши — не такое уж плохое место, если не обращать внимания на постоянные нападки со стороны кентавров."
11596,0,"В моем бизнес-плане не было места для гигантских кодосов... может, мне стоило заняться плетением подводных корзин?"
14567,0,"Эти парни из Ордена Мифрила — слабаки."
16281,0,"Серебряный Рассвет не отвергнет никого, кто готов пожертвовать собой ради нашего дела."
